lgcode_iso3,Name,Family,Genus,Macroarea,title,author,year,pages_sum,inlg_iso3,hhtype
bcj,Bardi,Nyulnyulan,Nyulnyulan,Australia,A grammar of Bardi,Claire Bowern,2012,868,eng,grammar
gup,Bininj Gun-Wok,Gunwinyguan,Marne,Australia,"Bininj Gun-Wok: A Pan-dialectal Grammar of Mayali, Kunwinjku and Kune ",Nicholas Evans,2003,775,eng,grammar
amy,Emmi,Western Daly,Wagaydy,Australia,A Description of the Emmi language of the Northern Territory of Australia,Lysbeth J. Ford,1998,477,eng,grammar
gbu,Gaagudju,Gaagudju,Gaagudju,Australia,The Gaagudju People and their Language,Mark Harvey,1992,642,eng,grammar
wrk,Garrwa,Garrwan,Garrwan,Australia,A grammar of (Western) Garrwa,Ilana Mushin,2012,491,eng,grammar
gni,Gooniyandi,Bunuban,Bunuban,Australia,A Functional Grammar of Gooniyandi,William McGregor,1990,618,eng,grammar
gyd,Kayardild,Tangkic,Tangkic,Australia,A Grammar of Kayardild: With Historical-Comparative Notes on Tangkic,Nicholas D. Evans,1995,861,eng,grammar
mpc,Mangarrayi,Mangarrayi-Maran,Mangarrayi,Australia,Mangarayi,Francesca Merlan,1982,258,eng,grammar
mph,Maung,Iwaidjan,Iwaidjan,Australia,Agreement in Mawng: Productive and lexicalised uses of agreement in an Australian language,Ruth Singer,2006,362,eng,grammar
mep,Miriwung,Jarrakan,Jarrakan,Australia,The Miriwung language (East Kimberley): a phonological and morphological study,"Kofod, Frances ",1978,375,eng,grammar
nck,Nakkara,Mangrida,Nakkara,Australia,A Grammar of Nakkara (Central Arnhem Land Coast),Bronwyn Eather,1990,514,eng,grammar
nam,Ngankikurungkurr,Southern Daly,Ngankikurungkurr,Australia,"Ngan'gityemerri: A Language of the Daly River Region, Northern territory of Australia ",Nicholas J. Reid,1990,482,eng,grammar
tiw,Tiwi,Tiwian,Tiwian,Australia,Tiwi Today: a study of language change in a contact situation,"Lee, Jennifer R. ",1983,605,eng,grammar
waq,Wagiman,Wagiman,Wagiman,Australia,Wagiman matyin: a description of the wagiman language of the Northern Territory,Anthony R. Cook,1987,389,eng,grammar
wmb,Wambaya,Mirndi,Wambayan,Australia,A Grammar of Wambaya,Rachel Nordlinger,1993,684,eng,grammar
wrr,Wardaman,Yangmanic,Yangmanic,Australia,A Grammar of Wardaman: A Language of the Northern territory of Australia,Francesca C. Merlan,1994,633,eng,grammar
wrg,Warrongo,Pama-Nyungan,Northern Pama-Nyungan,Australia,A grammar of Warrongo,Tasaku Tsunoda,2011,781,eng,grammar
wro,Worora,Worrorran,Worrorran,Australia,Topics in Worora Grammar,Mark Clendon,2000,553,eng,grammar
knw,!Xun (Ekoka),Kxa,Ju-Kung,Africa,The !Xun Language: A Dialect Grammar of Northern Khoisan,"Heine, Bernd and König, Christa ",2015,342,eng,grammar
xam,/Xam,Tu,Tu,Africa,The San languages of southern Namibia: a linguistic appraisal with special reference to Krönlein's N|uusaa manuscript,"Güldemann, Tom ",2007,27,eng,grammar_sketch
huc,=|Hoan,Kxa,=|Hoan,Africa,"Khoisan: Syntax, Phonetics, Phonology, and Contact ","Bell, Arthur and Washburn, Paul ",2001,246,eng,grammar_sketch
anu,Anywa,Eastern Sudanic,Western Nilotic,Africa,"Anyuak, a Luo-language of the Southern Sudan: short grammar and dictionary ","Perner, Conradin ",1990,1007,eng,grammar_sketch
ary,Arabic (Moroccan),Afro-Asiatic,Semitic,Africa,Grammaire d'une variété d'Arabe Marocain (Région de Fēs),"Caubet, Dominique ",1989,904,fra,grammar
dba,Bangime,Bangime,Bangime,Africa,"Aspects of Bangime Phonology, Morphology, and Morphosyntax ","Hantgan, Abbie ",2013,550,eng,grammar
zag,Beria,Saharan,Eastern Saharan,Africa,Grammaire du beria (langue saharienne),Angelika Jakobi and Joachim Crass,2004,292,fra,grammar
wti,Berta,Berta,Berta,Africa,A Brief Grammar of the Berta Language,Susanne Neudorf,2008,56,eng,grammar_sketch
bvq,Birri,Central Sudanic,Birri,Africa,The Birri Language: Brief Elementary Notes,"Santandrea, Stefano ",1966,154,eng,grammar_sketch
cop,Coptic,Afro-Asiatic,Egyptian-Coptic,Africa,Coptic Egyptian (Sahidic Dialect): A Learner's Grammar,"Reintges, C. H. ",2018,646,eng,grammar
ema,Emai,Niger-Congo,Edoid,Africa,A grammar of Emai,"Schaefer, Ronald P. and Egbokhare, Oisaghaede Francis ",2017,1019,eng,grammar
ewe,Ewe,Niger-Congo,Gbe,Africa,Apprenons l'éwé,"Rongier, Jacques ","1988, 1989, 1990, 1991, 1992, 1993, 1994, 1995, 1996 ",2176,fra,grammar
fvr,Fur,Fur,Fur,Africa,The Fur verb and its context,"Waag, Christine ",2010,342,eng,grammar
gaa,Gã,Niger-Congo,Ga-Dangme,Africa,A grammar of Gã,"Campbell, Akua Asantewaa ",2017,721,eng,grammar
guk,Gumuz,Gumuz,Gumuz,Africa,A grammar of Northern and Southern Gumuz,"Ahland, Colleen Anne ",2012,506,eng,grammar
goa,Guro,Mande,Eastern Mande,Africa,Etude de la langue gouro (Côte d'Ivoire),"Grégoire, Henri-Claude ",1979,742,fra,grammar
hts,Hadza,Hadza,Hadza,Africa,Hadza,Bonny Sands,2013,35,eng,grammar_sketch
hau,Hausa,Afro-Asiatic,West Chadic,Africa,The Hausa Language: An Encyclopedic Reference Grammar,"Newman, Paul ",2000,799,eng,grammar
ijc,Ijo (Kolokuma),Ijoid,Ijoid,Africa,A Grammar of the Kolokuma Dialect of Ịjọ,"Williamson, Kay ",1965,134,eng,grammar
ikx,Ik,Eastern Sudanic,Kuliak,Africa,A grammar of Ik (Icé-tód): Northeast Uganda's last thriving Kuliak language,Terrill Schrock,2014,747,eng,grammar
tbi,Ingessana,Eastern Sudanic,Eastern Jebel,Africa,"A grammar of Gaahmg, a Nilo-Saharan language of Sudan ",Timothy Stirtz,2012,350,eng,grammar
djm,Jamsay,Dogon,Dogon,Africa,A grammar of Jamsay,"Heath, Jeffrey ",2008,755,eng,grammar
knc,Kanuri,Saharan,Western Saharan,Africa,We learn Kanuri,"Cyffer, Norbert and Bulakarima, Shettina Umara and Karta, Yaganami ",1991,376,eng,grammar
kdj,Karimojong,Eastern Sudanic,Eastern Nilotic,Africa,A Grammer [Sic!] of the Karimojong Language,"Novelli, Bruno ",1985,541,eng,grammar
xtc,Katcha,Kadu,Kadugli,Africa,Kadugli language and language usage,"Kutoado [misprint for Kumuado], Abdalla Ibrahim Abdalla ",1969,126,eng,grammar_sketch
xom,Komo,Koman,Koman,Africa,Documentation and Grammatical Description of Kwom,Tesfaye Negash Bayou,2014,458,eng,grammar
khq,Koyra Chiini,Songhay,Songhay,Africa,A Grammar of Koyra Chiini: The Songhay of Timbuktu,"Heath, Jeffrey ",1999,467,eng,grammar
kun,Kunama,Kunama,Kunama,Africa,The Kunama and their language,"Idris, Nikodimos ",1987,151,eng,grammar_sketch
xuu,Kxoe,Khoe-Kwadi,Khoe-Kwadi,Africa,A Grammar of Modern Khwe (Central Khoisan),"Kilian-Hatz, Christa ",2008,365,eng,grammar
gdm,Laal,Laal,Laal,Africa,"Deux Études laal: Moyen-Chari, Tchad ","Boyeldieu, Pascal ",1982,243,fra,grammar
les,Lese,Central Sudanic,Mangbutu-Efe,Africa,Notes on the Balese Language of the Ituri Forest,"Harries, Lyndon ",1956,19,eng,grammar_sketch
mhi,Ma'di,Central Sudanic,Moru-Ma'di,Africa,A Grammar of Ma'di,"Blackings, Mairi and Fabb, Nigel ",2003,750,eng,grammar
mde,Maba,Maban,Maban,Africa,Phonologie et morphosyntaxe du Maba,"Weiss, Doris ",2009,480,fra,grammar
mpe,Majang,Eastern Sudanic,Majang,Africa,The Majang Language,Andreas Joswig,2019,542,eng,grammar
plt,Malagasy,Austronesian,Barito,Africa,La syntaxe du malgache,Jacques Dez,1980,1014,fra,grammar
mdj,Mangbetu,Central Sudanic,Mangbetu,Africa,Grammaire des Dialectes Mangbetu et Medje suivi d'un manuel de conversation et d'un lexique,"Larochette, Joseph ",1958,232,fra,grammar
baw,Mbili,Niger-Congo,Wide Grassfields,Africa,Mbili: A Linguistic Analysis,"Ayuninjam, Funwi F. ",1994,884,eng,grammar
mif,Mofu-Gudur,Afro-Asiatic,Biu-Mandara,Africa,Description du Mofu-Gudur: langue de la famille tchadique parlée au Cameroun,"Barreteau, Daniel ",1983,887,fra,grammar
lol,Mongo,Niger-Congo,Bantu,Africa,Grammaire du Lɔmɔ́ngɔ,"Hulstaert, Gustaaf ","1961, 1965, 1966, 1988 ",1944,fra,grammar
muz,Mursi,Eastern Sudanic,South Surmic,Africa,"A grammar of Mursi, a Nilo-Saharan language ",Firew Girma Worku,2020,689,eng,grammar
bud,Ncàm,Niger-Congo,Oti-Volta,Africa,"Description synchronique de la langue ncam (bassar), parler de Kabou (togo) ","Takassi, Issa ",1996,786,fra,grammar
sba,Ngambay,Central Sudanic,Bongo-Bagirmi,Africa,50 lessons in Sara-Ngambay,"Thayer, Linda Jean and Thayer, James Edward ",1971,506,eng,grammar
ngb,Ngbandi,Niger-Congo,Ubangi,Africa,Description du Ngbandi,"Toronzoni, Ngama-Nzombio Tra Ndele ",1989,760,fra,grammar
niy,Ngiti,Central Sudanic,Lendu,Africa,Ngiti: A Central-Sudanic Language of Zaire,"Kutsch Lojenga, Constance ",1994,531,eng,grammar
ann,Obolo,Niger-Congo,Lower Cross,Africa,Déscription systematique de la langue obolo-andoni (Nigeria),"Rowland Oke, Mary ",1999,809,fra,grammar
tag,Orig,Kordofanian,Rashad,Africa,A Description of the Orig Language (Southern Kordofan) based on the notes of Fr.~Carlo Muratori,"Schadeberg, Thilo C. and Elias, Philip ",1979,85,eng,grammar_sketch
otr,Otoro,Kordofanian,Heiban,Africa,A grammar of Otoro,"Stevenson, Roland C. ",2009,212,eng,grammar
pko,Pokot,Eastern Sudanic,Southern Nilotic,Africa,A Study of the Pokot (Suk) Language: Grammar and Vocabulary,"Crazzolara, Pasquale ",1978,372,eng,grammar
aar,Qafar,Afro-Asiatic,Lowland East Cushitic,Africa,A generative grammar study of Afar,"Bliese, Loren Frecerick ",1977,622,eng,grammar
sad,Sandawe,Sandawe,Sandawe,Africa,The Grammar of Focus in Sandawe,"Eaton, Helen C. ",2002,296,eng,grammar_sketch
sif,Seme,Siamou,Siamou,Africa,Topics in Siamou tense and aspect,"Toews, Carmela I. P. ",2015,432,eng,grammar
sbf,Shabo,Shabo,Shabo,Africa,Documentation and grammatical description of Chabu,"Kibebe, Tsehay Taye ",2015,528,eng,grammar
shj,Shatt,Eastern Sudanic,Daju,Africa,Caning Grammar Book,David Abbi Alfira and Timothy Kuku Kafi and Hassan Kuwa Kaki and Ali Alaliim Hasan and Anjo Kuku Anjo and Dayan Kuku Jas and Sadik Kafi Sarukh,2016,270,eng,grammar
sid,Sidaama,Afro-Asiatic,Highland East Cushitic,Africa,A Grammar of Sidaama (Sidaamo): A Cushitic Language of Ethiopia,"Kawachi, Kazuhiro ",2007,842,eng,grammar
snk,Soninke,Mande,Western Mande,Africa,Le parler soninké de Kaédi (Mauritanie): syntaxe et sens,"Diagana, Ousmane Moussa ",1984,1024,fra,grammar
spp,Supyire,Niger-Congo,Senufo,Africa,A Grammar of Supyire: Kampwo dialect,"Carlson, Robert ",1990,1048,eng,grammar
taq,Tamashek,Afro-Asiatic,Berber,Africa,A grammar of Tamashek (Tuareg of Mali),"Heath, Jeffrey ",2005,763,eng,grammar
tms,Tima,Kordofanian,Katla-Tima,Africa,Tima Word Structure (Noun and Verb),"Alamin Mubarak, Suzan ",2009,344,eng,grammar
wal,Wolaytta,Afro-Asiatic,Ta-Ne-Omotic,Africa,A Descriptive Study of the Modern Wolaytta Language,"Wakasa, Motomichi ",2008,1140,eng,grammar
ain,Ainu,Ainu,Ainu,Eurasia,The Ainu language,"Tamura, Suzuko ",2000,302,eng,grammar
abj,Aka-Biada,Great Andamanese,Great Andamanese,Eurasia,A grammar of Akabea,Raoul Zamponi and Bernard Comrie,2020,453,eng,grammar
aqc,Archi,Nakh-Daghestanian,Lezgic,Eurasia,Opyt strukturnogo opisanija arčinskogo jazyka,"Kibrik, Aleksandr E. ",1977,1031,rus,grammar
bgn,Baluchi,Indo-European,Iranian,Eurasia,A Course in Baluchi,Muhammed A. Barker and A. K. Mengal,1969,1258,eng,grammar
eus,Basque,Basque,Basque,Eurasia,A Grammar of Basque,José I. Hualde and Jon Ortiz de Urbina,2003,976,eng,grammar
ben,Bengali,Indo-European,Indic,Eurasia,The origin and development of the Bengali language,"Chatterji, Sunti Kumar ",1926,1270,eng,grammar
bfu,Bunan,Sino-Tibetan,Bodic,Eurasia,A descriptive grammar of Bunan,Manuel Widmer,2014,910,eng,grammar
bsk,Burushaski,Burushaski,Burushaski,Eurasia,A Reference Grammar of Eastern Burushaski,"Yoshioka, Noboru ",2012,628,eng,grammar
ckt,Chukchi,Chukotko-Kamchatkan,Northern Chukotko-Kamchatkan,Eurasia,Grammatika Chukotskogo Jazyka,"Skorik, Pavel Ya. ","1961, 1977 ",825,rus,grammar
dar,Dargwa,Nakh-Daghestanian,Dargwic,Eurasia,Darginskij jazyk,"Abdullaev, Zapir Gasanbekovič ",1993,1098,rus,grammar
eng,English,Indo-European,Germanic,Eurasia,The Cambridge grammar of the English language,"Huddleston, Rodney D. and Pullum, Geoffrey K. ",2002,1859,eng,grammar
adl,Galo,Sino-Tibetan,Tani,Eurasia,A Grammar of Galo,Mark Post,2007,947,eng,grammar
kat,Georgian,Kartvelian,Kartvelian,Eurasia,Georgian: A Structural Reference Grammar,George B. Hewitt,1995,726,eng,grammar
gin,Hinuq,Nakh-Daghestanian,Avar-Andic-Tsezic,Eurasia,A grammar of Hinuq,Diana Forker,2013,827,eng,grammar
lic,Hlai (Baoding),Tai-Kadai,Hlai,Eurasia,Jazyk Xajnan'skix Li,Yu. L. Blagonravova,1999,152,rus,grammar
mww,Hmong Daw,Hmong-Mien,Hmongic,Eurasia,Elements de Grammaire Hmong Blanc,"Mottin, Jean ",1978,212,fra,grammar
itl,Itelmen,Chukotko-Kamchatkan,Southern Chukotko-Kamchatkan,Eurasia,Itel'menskij Jazyk,A. P. Volodin,1976,424,rus,grammar
jpn,Japanese,Japanese,Japanese,Eurasia,A reference grammar of Japanese,Samuel E. Martin,1988,1198,eng,grammar
anq,Jarawa (in Andamans),South Andamanese,South Andamanese,Eurasia,Descriptive and typological study of Jarawa,Pramod Kumar,2012,357,eng,grammar
kbd,Kabardian,Northwest Caucasian,Northwest Caucasian,Eurasia,Kabardino-Čerkesskij Jazyk,"Kumaxov, M. A. ",2006,553,rus,grammar
ket,Ket,Yeniseian,Yeniseian,Eurasia,"A descriptive grammar of Ket: Part I: introduction, phonology and morphology ","Georg, Stefan ",2007,328,eng,grammar
kor,Korean,Korean,Korean,Eurasia,A Reference Grammar of Korean: A Complete Guide to the Grammar and History of the Korean Language,Samuel E. Martin,1992,1042,eng,grammar
kgg,Kusunda,Kusunda,Kusunda,Eurasia,Notes on Kusunda Grammar: A Language Isolate of Nepal,David E. Watters,2006,182,eng,grammar
lha,Laha,Tai-Kadai,Kadai,Eurasia,Yazyk Laxa,Ordena Trudovogo Krasnogo Znameni,1986,410,rus,grammar_sketch
lav,Latvian,Indo-European,Baltic,Eurasia,A grammar of modern Latvian: Vol 1-3,"Fennell, Trevor G. and Gelsen, Henry ",1980,1370,eng,grammar
mal,Malayalam,Dravidian,Dravidian,Eurasia,An intensive course in Malayalam,"Kumari, B. Syamala ",1981,933,eng,grammar
ium,Mien,Hmong-Mien,Mienic,Eurasia,An Iu Mien Grammar: A Tool for Language Documentation and Revitalisation,"Arisawa, Tatsuro Daniel ",2016,924,eng,grammar
mnw,Mon,Austro-Asiatic,Monic,Eurasia,Morphology and syntax of spoken Mon,"Bauer, Christian ",1982,614,eng,grammar
mdf,Mordvin (Moksha),Uralic,Mordvin,Eurasia,Èlementy Mokshanskogo Jazyka v Tipologicheskom Otveshchenii,S. Yu. Toldova,2018,1038,rus,grammar
nll,Nahali,Nahali,Nahali,Eurasia,"The Nihali Language (Grammar, Texts, Vocabulary) ",K. S. Nagaraja,2014,344,eng,grammar
nio,Nganasan,Uralic,Samoyedic,Eurasia,A grammar of Nganasan,"Wagner-Nagy, Beáta Boglárka ",2019,602,eng,grammar
niv,Nivkh (South Sakhalin),Nivkh,Nivkh,Eurasia,Grammatika Nivxskogo Jazyka,"Panfilov, Vladimir Zinov'evic ","1962, 1965 ",532,rus,grammar
xal,Oirat,Altaic,Mongolic,Eurasia,Issledovaniya po grammatike Kalmytsskogo Jazyka,S. S. Saj and V. V. Baranova and N. V. Sedobol'skaya,2009,895,rus,grammar
sza,Semelai,Austro-Asiatic,Aslian,Eurasia,Semelai,Nicole D. Kruspe,1999,755,eng,grammar
tat,Tatar,Altaic,Turkic,Eurasia,Tatar grammatikasy / Tatarskaja grammatika,"Zakiev, Mirfatch Zakievic and Asrafovic, Ganiev Fuat and Zinnatullina, Klara Zijaevna ","1994, 1993, 1992 ",1465,rus,grammar
tha,Thai,Tai-Kadai,Kam-Tai,Eurasia,Thai: basic course,"Yates, Warren G. and Tryon, Absorn ",1970,846,eng,grammar
thf,Thangmi,Sino-Tibetan,Himalayish,Eurasia,A Grammar of the Thangmi Language: With an Ethnolinguistic Introduction to the Speakers and Their Culture,Mark Turin,2011,1000,eng,grammar
ude,Udihe,Altaic,Tungusic,Eurasia,A Grammar of Udihe,Irina Nikolaeva and Maria Tolskaya,2001,1002,eng,grammar
vie,Vietnamese,Austro-Asiatic,Vietic,Eurasia,Grammaire annamite suivie d’un vocabulaire français-annamite et annamite-français,"Aubaret, Gabriel ",1867,598,fra,grammar_sketch
kpv,Yazva,Uralic,Permic,Eurasia,Sovremennyj komi jazyk: učebnik dlja vysšix učebnyx zavedenij,"Lytkin, Vasilij I. ","1955, 1967 ",597,rus,grammar
yux,Yukaghir (Kolyma),Yukaghir,Yukaghir,Eurasia,A grammar of Kolyma Yukaghir,"Maslova, Elena ",1999,726,eng,grammar
kjq,Acoma,Keresan,Keresan,North America,A Study For A Lexicon of Laguna Keresan,"Valiquette, Hilaire Paul ",1990,807,eng,grammar
ale,Aleut,Eskimo-Aleut,Aleut,North America,Aleut Grammar: Unangam Tunuganann Achixaasix̂,Knut Bergsland,1997,373,eng,grammar
aes,Alsea,Oregon Coast,Alsea,North America,Alsea Grammar,"Frachtenberg, Leo Joachim ",1918,431,eng,grammar
ari,Arikara,Caddoan,Northern Caddoan,North America,An introduction to the Arikara language,"Parks, Douglas and Janet Beltran and Ella Waters ",1979,422,eng,grammar
aqp,Atakapa,Atakapa,Atakapa,North America,Atakapa: a grammatical sketch,Jonel Macris Mueller,1981,82,eng,grammar_sketch
cay,Cayuga,Iroquoian,Northern Iroquoian,North America,Watewayéstanih: a Cayuga teaching grammar,"Mithun, Marianne and Henry, Reginald ",1982,615,eng,grammar
cso,Chinantec (Sochiapan),Oto-Manguean,Chinantecan,North America,A grammar of Sochiapan Chinantec,"Foris, David ",1994,607,eng,grammar
ctm,Chitimacha,Chitimacha,Chitimacha,North America,Modern Chitimacha (Sitimaxa),"Granberry, Julian ",2004,113,eng,grammar_sketch
boi,Chumash (Barbareño),Chumash,Chumash,North America,Adverbial Clauses in Barbareño Chumash Narrative Discourse,"Wash, Suzanne Maria ",2001,591,eng,grammar_sketch
xcw,Coahuilteco,Coahuiltecan,Coahuiltecan,North America,A descriptive phonology and morphology of Coahuilteco,Rudolph C. Troike,1959,146,eng,grammar_sketch
col,Columbia-Wenatchi,Salishan,Interior Salish,North America,A Grammatical Sketch of Nxa'amxcin (Moses-Columbia Salish),"Willett, Marie Louise ",2003,476,eng,grammar
csw,Cree (Swampy),Algic,Algonquian,North America,Spoken Cree: West Coast of James Bay,"Ellis, C. Douglas ",1983,713,eng,grammar
esq,Esselen,Esselen,Esselen,North America,The Huelen (Esselen) Language,David L. Shaul,1995,49,eng,grammar_sketch
hdn,Haida (Northern),Haida,Haida,North America,The importance of pragmatic factors in Haida Syntax,"Edwards, Elizabeth A. ",1982,172,eng,grammar_sketch
hid,Hidatsa,Siouan,Missouri River Siouan,North America,A grammar of Hidatsa,"Park, Indrek ",2012,580,eng,grammar
tow,Jemez,Kiowa-Tanoan,Kiowa-Tanoan,North America,A Phonology and Morphology of Jemez Towa,Yukihiro Yumitani,1998,298,eng,grammar
kyl,Kalapuya,Kalapuyan,Kalapuyan,North America,The Verbal Morphology of Santiam Kalapuya,Jonathan Banks,2007,98,eng,grammar_sketch
zkk,Karankawa,Karankawa,Karankawa,North America,Karankawa Linguistic Materials,Anthony P. Grant,1994,56,eng,grammar_sketch
yak,Klikitat,Penutian,Sahaptian,North America,A grammar of Yakima Ichishkíin/Sahaptin,"Jansen, Joana Worth ",2010,529,eng,grammar
cku,Koasati,Muskogean,Muskogean,North America,Koasati Grammar,Geoffrey D. Kimball,1991,666,eng,grammar
kut,Kutenai,Kutenai,Kutenai,North America,A Description of the Kutenai Language,Lawrence Morgan,1991,566,eng,grammar
miq,Miskito,Misumalpan,Misumalpan,North America,"Langue Mosquito: Grammaire, vocabulaire, textes ",Lucien Adam,1891,134,fra,grammar
hur,Musqueam,Salishan,Central Salish,North America,A Grammar of Chilliwack Halkomelem,"Galloway, Brent Douglas ",1977,722,eng,grammar
ncz,Natchez,Natchez,Natchez,North America,Natchez,Geoffrey Kimball,2005,69,eng,grammar_sketch
nav,Navajo,Na-Dene,Athapaskan,North America,The Navajo Language: A Grammar and Colloquial Dictionary,"Robert W. Young and Morgan, Sr., William ",1987,1521,eng,grammar
ncg,Nisgha,Tsimshianic,Tsimshianic,North America,A Grammar of the Nisgha Language,Marie-Lucie Tarpent,1989,913,eng,grammar
nuk,Nuuchahnulth,Wakashan,Southern Wakashan,North America,Studies in Wakashan (Nootkan) Grammar,Matthew Davidson,2002,488,eng,grammar
